6.10 -0.92 -0.79
4.67 1.62 5.40
9.95 -3.55 -6.66
6.16 4.30 2.59
11.77 3.63 -3.49
3.89 -4.99 -3.89
4.75 2.53 -3.15
5.77 -1.10 -1.66
-8.54 -3.10 -5.13
-6.24 -4.62 6.00
-2.57 -1.22 -10.44
9.74 -2.35 9.08
9.61 -1.36 9.24
0.88 -1.78 -4.81
3.52 1.64 -4.12
4.71 -1.15 -3.19
2.44 -2.88 13.75
-9.48 0.12 -1.17
3.19 -0.77 -4.29
12.07 -3.81 4.63
-7.20 3.46 -7.24
7.76 2.72 11.08
0.70 -1.14 -11.04
5.62 -4.95 4.00
-6.77 2.23 -7.73
-0.87 1.83 7.92
-7.53 -0.35 -6.82
7.98 -4.47 -8.61
11.38 1.01 6.46
9.99 4.13 8.77
4.28 2.20 -3.59
6.35 -3.20 1.31
12.59 -0.88 0.36
5.87 -1.81 3.47
-2.21 3.53 7.82
-6.67 0.45 -7.84
0.38 -4.80 -4.78
1.62 -0.99 -11.02
-1.20 -3.68 -10.82
0.71 -4.30 -4.81
1.89 2.86 -4.73
3.82 -0.76 6.23
4.54 -2.17 13.04
-8.63 -4.53 2.90
5.06 -0.97 -2.79
6.22 3.21 -9.75
5.48 3.09 -2.19
3.38 -2.56 6.56
0.54 3.81 -11.03
5.02 4.36 4.97
0.93 1.46 7.68
-8.65 -4.37 -4.89
-7.66 2.10 -6.64
-6.11 -0.89 6.11
6.09 0.76 2.83
-6.87 -0.64 5.43
2.63 -1.37 7.02
4.45 0.17 -3.44
-0.93 -2.29 7.92
-8.64 2.63 2.87
12.61 4.34 0.85
4.78 -3.80 -3.11
-0.24 -1.43 7.88
12.45 0.29 3.00
12.61 -1.59 1.12
10.42 -1.36 8.15
10.28 -3.94 8.36
-1.62 -1.50 7.89
4.29 1.23 5.80
12.56 -0.91 -0.06
6.47 3.89 -9.61
6.28 2.38 2.03
11.87 -1.67 -3.22
6.35 3.44 0.71
10.56 1.54 7.94
-7.96 -4.25 -6.19
5.09 4.65 12.78
11.46 2.10 6.29
4.61 2.01 5.47
5.20 3.95 4.71
0.77 -3.16 -11.04
-9.26 1.00 1.03
-6.77 2.11 5.53
-7.94 2.64 4.12
5.49 0.36 4.24
6.30 1.96 1.88
-9.05 1.89 1.81
11.55 -3.06 -4.03
0.04 -0.03 -4.72
6.33 -4.78 1.65
9.05 -3.83 -7.67
-4.69 0.62 -9.43
11.13 -2.79 -4.89
12.58 1.80 1.76
-5.12 -2.27 -9.15
-3.04 3.83 -10.27
-7.92 -1.85 -6.26
9.52 -2.69 -7.17
1.07 3.85 -11.04
-4.74 -0.27 6.99
10.33 0.16 8.29
8.85 -1.41 -7.86
